Food Item,Day,Meal,Serving Location,Portion,Forecast,Prepared,Leftover,Served,When the food ran out,Any Distinctions?,How much food was wasted (%),Forecast vs. Prepared
Baked Sweet Potato,1/6/25,Lunch,Blue Plate Special,4 Oz,40,50,0,50,,VGN,0,1.25
Baked Sweet Potato,1/6/25,Dinner,Blue Plate Special,4 Oz,50,65,,65,,VGN,0,1.3
Baked Sweet Potato,3/5/25,Lunch,Blue Plate Special,4 Oz,35,40,5,35,,VGN,0.125,1.142857143
Baked Sweet Potato,3/14/25,Lunch,Blue Plate Special,4 Oz,25,35,0,35,,VGN,0,1.4
Baked Sweet Potato,3/14/25,Dinner,Blue Plate Special,4 Oz,40,50,0,50,,VGN,0,1.25
Baked Sweet Potato,3/17/25,Lunch,Blue Plate Special,4 Oz,50,50,0,50,,VGN,0,1
Baked Sweet Potato,3/17/25,Dinner,Blue Plate Special,4 Oz,50,60,5,55,,VGN,0.08333333333,1.2
Baked Sweet Potato,3/31/25,Lunch,Blue Plate Special,4 Oz,25,45,0,45,,VGN,0,1.8
Baked Sweet Potato,4/16/25,Dinner,Blue Plate Special,4 oz,50,50,5,45,,VGN,0.1,
Banana Chocolate Chip Bar,3/18/25,Lunch,Bakery,Bar,480,560,100,460,,"VGN, Nuts",0.1785714286,1.166666667
Basmati Rice,2/25/25,Dinner,Order Up,1/2 Cup,64,50,2,48,,VGN,0.04,0.78125
BBQ Chicken Pizza,3/7/25,Lunch,Pizza,Slice,624,45,5,40,8:00 PM,,0.1111111111,0.07211538462
BBQ Chicken Pizza,3/8/25,Brunch,Pizza,Slice,72,72,0,72,,,0,1
Bean & Cheese Nachos,3/14/25,Lunch,East Side (Taqueria),Boat,320,300,0,300,,VGT,0,0.9375
Bean & Cheese Sope,3/15/25,Dinner,East Side (Taqueria),Sope,180,180,0,180,,VGT,0,1
Bean & Rice Tostada,1/5/25,Dinner,East Side (Taqueria),Unit,40,50,0,50,,VGN,0,1.25
Bean and Rice Burrito,1/6/25,Dinner,East Side (Taqueria),Burrito,220,220,,220,,VGN,0,1
Bean and Rice Burrito,3/17/25,Lunch,East Side (Taqueria),Burrito,150,130,20,110,,VGN,0.1538461538,0.8666666667
Beef Birria,3/18/25,Lunch,East Side (Taqueria),4 Oz,620,700,0,700,1:30 PM,,0,1.129032258
Beef Fajita,4/16/25,Dinner,East Side (Taqueria),Fajita,750,800,100,700,,,0.125,1.066666667
Beef Hard Shell Taco,3/14/25,Dinner,East Side (Taqueria),Taco,675,675,0,675,,,0,1
Beef Tacos,2/25/25,Dinner,East Side (Taqueria),Taco,40,40,0,40,,,0,1
Black Bean Burger,2/18/25,Lunch,West Side (Cafe),Burger,48,48,18,30,,VGN,0.375,1
Black Bean Burger,3/5/25,Lunch,West Side (Cafe),Burger,36,36,0,36,,VGN,0,1
Black Bean Burger,3/18/25,Lunch,West Side (Cafe),Burger,24,24,0,24,,VGN,0,1
Black Bean Burger,3/31/25,Lunch,West Side (Cafe),Burger,24,24,0,24,,VGN,0,1
Black Bean Salad,3/2/25,Dinner,Salads/Deli,1/2 Cup,110,100,0,100,,VGN,0,0.9090909091
Black Bean Salsa,3/15/25,Dinner,East Side (Taqueria),2 Oz Ladle,256,160,0,160,,VGN,0,0.625
Black Bean Tostada,1/7/25,Lunch,East Side (Taqueria),Tostada,80,80,,80,,VGN,0,1
Black Bean Tostada,3/9/25,Dinner,East Side (Taqueria),Tostada,90,90,0,90,,VGN,0,1
Black Bean Tostada,3/18/25,Lunch,East Side (Taqueria),Tostada,40,40,0,40,,VGN,0,1
Black Beans,1/7/25,Lunch,East Side (Taqueria),1/2 Cup,320,300,50,250,,VGN,0.1666666667,0.9375
Black Beans,3/9/25,Dinner,East Side (Taqueria),1/2 Cup,320,320,0,320,,VGN,0,1
Black Beans,3/18/25,Lunch,East Side (Taqueria),1/2 Cup,160,200,50,150,,VGN,0.25,1.25
Black Olive Pizza on Wheat,3/6/25,Lunch,Pizza,Slice,216,18,2,16,5,VGT,0.1111111111,0.08333333333
Blueberry Pancake,1/7/25,Breakfast,West Side (Cafe),Pancake,380,380,,380,,,0,1
Bok Choy with Garlic & Ginger,3/8/25,Dinner,Blue Plate Special,2.5 Oz,350,350,0,350,8:00 PM,VGN,0,1
Bok Choy with Garlic & Ginger,3/31/25,Lunch,Blue Plate Special,1/2 Cup,200,100,0,100,,VGN,0,0.5
Brown Rice,1/5/25,Dinner,Order Up,1/2 Cup,16,16,6,10,,VGN,0.375,1
Brown Rice,2/22/25,Dinner,Order Up,1/2 Cup,16,16,5,11,,VGN,0.3125,1
Brown Rice,2/25/25,Lunch,Order Up,1/2 Cup,32,32,2,30,,VGN,0.0625,1
Brown Rice,2/25/25,Dinner,Order Up,1/2 Cup,16,16,3,13,,VGN,0.1875,1
Brown Rice,3/8/25,Dinner,Order Up,1/2 Cup,32,16,3,13,,VGN,0.1875,0.5
Brown Rice,3/9/25,Dinner,Order Up,1/2 Cup,32,16,3,13,,VGN,0.1875,0.5
Brown Rice,3/14/25,Dinner,Order Up,1/2 Cup,32,16,4,12,,VGN,0.25,0.5
Brown Rice,3/15/25,Dinner,Order Up,1/2 Cup,15,16,3,13,,VGN,0.1875,1.066666667
Brown Rice,3/17/25,Dinner,Order Up,1/2 Cup,32,16,4,12,,VGN,0.25,0.5
Brown Rice,3/18/25,Dinner,Order Up,1/2 Cup,16,16,3,13,,VGN,0.1875,1
Brown Rice,3/18/25,Lunch,Order Up,1/2 Cup,32,32,10,22,,VGN,0.3125,1
Brownie & Walnut Pie,2/22/25,Dinner,Bakery,Slice,520,520,0,520,,"VGT, Nuts",0,1
Cage Free Scrambled Egg Whites,1/6/25,Breakfast,West Side (Cafe),1/2 Cup,50,100,0,100,,VGT,0,2
Cage Free Scrambled Egg Whites,1/7/25,Breakfast,West Side (Cafe),1/2 Cup,40,60,,60,,,0,1.5
Cage Free Scrambled Egg Whites,2/23/25,Brunch,West Side (Cafe),1/2 Cup,70,70,0,70,,,0,1
Cage Free Scrambled Egg Whites,3/9/25,Brunch,West Side (Cafe),1/2 Cup,50,100,0,100,,VGT,0,2
Cage Free Scrambled Egg Whites,3/17/25,Breakfast,West Side (Cafe),1/2 Cup,60,80,0,80,,VGT,0,1.333333333
Cage Free Scrambled Egg Whites,3/18/25,Breakfast,West Side (Cafe),1/2 Cup,30,60,0,60,,VGT,0,2
Cage Free Scrambled Egg Whites,4/17/25,Breakfast,West Side (Cafe),1/2 Cup,45,45,0,45,,VGT,0,
Cage Free Scrambled Eggs,1/6/25,Breakfast,West Side (Cafe),1/2 Cup,440,440,0,440,,VGT,0,1
Cage Free Scrambled Eggs,1/7/25,Breakfast,West Side (Cafe),1/2 Cup,420,420,,420,,,0,1
Cage Free Scrambled Eggs,2/23/25,Brunch,West Side (Cafe),1/2 Cup,850,850,0,850,,,0,1
Cage Free Scrambled Eggs,3/9/25,Brunch,West Side (Cafe),1/2 Cup,900,900,0,900,,VGT,0,1
Cage Free Scrambled Eggs,3/17/25,Breakfast,West Side (Cafe),1/2 Cup,200,200,0,200,,VGT,0,1
Cage Free Scrambled Eggs,3/18/25,Breakfast,West Side (Cafe),1/2 Cup,400,400,0,400,,VGT,0,1
Cage Free Scrambled Eggs,4/17/25,Breakfast,West Side (Cafe),1/2 Cup,260,260,0,260,,VGT,0,
Cage Free Scrambled Eggs with Cheese,3/17/25,Breakfast,West Side (Cafe),1/2 Cup,200,200,0,200,,VGT,0,1
Caluiflower & Red Bell Pepper,3/5/25,Lunch,Blue Plate Special,1/2 Cup,180,180,40,140,,VGN,0.2222222222,1
Canadian Bacon Pizza,3/14/25,Dinner,Pizza,Slice,300,492,60,432,,,0.1219512195,1.64
Caponata Salad,1/6/25,Lunch,Salads/Deli,1/2 Cup,260,240,0,240,,VGN,0,0.9230769231
Caponata Salad,3/3/25,Lunch,Salads/Deli,1/2 Cup,220,220,0,220,,VGN,0,1
Carrot Cake with Cream Cheese,3/18/25,Dinner,Bakery,Slice,268,268,0,268,,"VGN, Nuts",0,1
Carrots & Broccoli,3/14/25,Lunch,Blue Plate Special,1/2 Cup,140,60,0,60,,VGN,0,0.4285714286
Carrots with Tarragon,3/17/25,Dinner,Blue Plate Special,1/2 Cup,470,470,70,400,,VGN,0.1489361702,1
Cashew Tofu Stir Fry,3/18/25,Dinner,Order Up,Cup,140,180,4,176,,"VGN, Nuts",0.02222222222,1.285714286
Cauliflower & Broccoli,3/9/25,Brunch,Blue Plate Special,1/2 Cup,120,100,0,100,,VGN,0,0.8333333333
Char Burger,1/6/25,Lunch,West Side (Cafe),Burger,708,1050,0,1050,,,0,1.483050847
Char Burger,2/18/25,Lunch,West Side (Cafe),Burger,816,1000,0,1000,,,0,1.225490196
Char Burger,3/5/25,Lunch,West Side (Cafe),Burger,744,1250,0,1250,,,0,1.680107527
Char Burger,3/17/25,Lunch,West Side (Cafe),Burger,696,1050,0,1050,,,0,1.50862069
Char Burger,3/18/25,Lunch,West Side (Cafe),Burger,600,800,0,800,,,0,1.333333333
Char Burger,3/31/25,Lunch,West Side (Cafe),Burger,696,1150,0,1150,,,0,1.652298851
Char Burger,4/17/25,Lunch,West Side (Cafe),Burger,0,40,0,40,,,0,
Char Grilled Pork Chop,3/16/25,Dinner,Blue Plate Special,3 Oz,"1,070","1,070",0,1070,,,0,1
Cheese Pizza,1/6/25,Dinner,Pizza,Slice,372,360,0,360,,VGT,0,0.9677419355
Cheese Pizza,1/6/25,Lunch,Pizza,Slice,372,264,12,252,,VGT,0.04545454545,0.7096774194
Cheese Pizza,3/17/25,Dinner,Pizza,Slice,264,324,0,324,,VGT,0,1.227272727
Cheese Pizza,3/17/25,Lunch,Pizza,Slice,408,25,0,25,,VGT,0,0.0612745098
Cheese Pizza on Wheat Crust,2/22/25,Dinner,Pizza,Slice,276,216,0,216,,VGT,0,0.7826086957
Cheese Pizza on Wheat Crust,3/8/25,Dinner,Pizza,Slice,252,240,0,240,,VGT,0,0.9523809524
Cheese Pizza on Wheat Crust,3/8/25,Brunch,Pizza,Slice,240,216,6,210,,VGT,0.02777777778,0.9
Cheese Ravioli with Marinara,2/25/25,Lunch,Order Up,3/4 Cup,670,670,10,660,,,0.01492537313,1
Cheese Roll,3/18/25,Lunch,Bakery,Roll,96,98,20,78,,VGT,0.2040816327,1.020833333
Cherry Cobbler,2/21/25,Dinner,Bakery,Piece,225,270,100,170,,VGN,0.3703703704,1.2
Chicken & Vegetable Stir Fry,1/5/25,Dinner,Order Up,Cup,680,680,4,676,,,0.005882352941,1
Chicken and Black Bean Burrito,1/7/25,Lunch,East Side (Taqueria),Burrito,480,450,0,450,,,0,0.9375
Chicken and Rice Tostada,3/15/25,Dinner,East Side (Taqueria),Tostada,750,900,0,900,,,0,1.2
Chicken and Rice Tostada,3/31/25,Lunch,East Side (Taqueria),Tostada ,440,440,0,440,,,0,1
Chicken Bean & Rice Burrito,3/8/25,Dinner,East Side (Taqueria),Burrito,550,650,50,600,,,0.07692307692,1.181818182
Chicken Brown Rice Soup,3/9/25,Brunch,Blue Plate Special,6 Oz Ladle,70,300,0,300,,,0,4.285714286
Chicken Madeira,4/16/25,Dinner,Blue Plate Special,Breast,880,880,160,720,,,0.1818181818,
Chicken Madras,2/25/25,Dinner,Order Up,6 Oz Ladle,600,1408,0,1408,8:20 PM,,0,2.346666667
Chicken Marinara,3/17/25,Dinner,Order Up,3 Oz Ladle,700,700,4,696,,,0.005714285714,1
Chicken Philly Sandwich,2/22/25,Brunch,Blue Plate Special,Sandwich,342,370,0,370,,,0,1.081871345
Chicken Rice Soup,2/23/25,Brunch,Blue Plate Special,6 Oz Ladle,80,596,146,450,,,0.244966443,7.45
Chicken Sausage Patty,2/23/25,Brunch,West Side (Cafe),Patty,780,780,0,780,,,0,1
Chicken Sausage Patty,3/17/25,Breakfast,West Side (Cafe),Patty,350,350,0,350,,,0,1
Chicken Soft Taco,3/9/25,Dinner,East Side (Taqueria),Taco,900,900,0,900,,,0,1
Chicken Soft Taco,3/17/25,Dinner,East Side (Taqueria),Taco,1200,1200,0,1200,,,0,1
Chicken Sope,1/6/25,Dinner,East Side (Taqueria),Sope,504,504,20,484,,,0.03968253968,1
Chicken Vegetable Soup,4/16/25,Dinner,Blue Plate Special,6 Oz Ladle,180,180,80,100,,,0.4444444444,
Chocolate Chip Banana Bread,3/9/25,Brunch,Bakery,Slice,400,400,60,340,,VGT,0.15,1
Chocolate Chip Cake,1/6/25,Dinner,Bakery,Slice,632,585,209,376,,VGT,0.3572649573,0.9256329114
Chocolate Chip Scone,2/26/25,Breakfast,Bakery,Unit,120,160,0,160,,VGN,0,1.333333333
Chorizo Pizza,2/22/25,Dinner,Pizza,Slice,360,312,28,284,,,0.08974358974,0.8666666667
Congo Bar,1/6/25,Lunch,Bakery,Bar,400,400,200,200,,VGT,0.5,1
Corn,2/22/25,Brunch,Blue Plate Special,1/2 Cup,140,20,0,20,,VGN,0,0.1428571429
Corn Tortilla,1/5/25,Dinner,East Side (Taqueria),Tortilla,12,30,0,30,,VGN,0,2.5
Corn Tortilla,1/6/25,Dinner,East Side (Taqueria),Tortilla,24,24,,24,,VGN,0,1
Corn Tortilla,1/7/25,Lunch,East Side (Taqueria),Tortilla,24,36,,36,,VGN,0,1.5
Corn Tortilla,2/25/25,Dinner,East Side (Taqueria),Tortilla,72,72,0,72,,VGN,0,1
Corn Tortilla,3/8/25,Dinner,East Side (Taqueria),Tortilla,24,36,0,36,,VGN,0,1.5
Corn Tortilla,3/9/25,Dinner,East Side (Taqueria),Tortilla,48,70,0,70,,VGN,0,1.458333333
Corn Tortilla,3/14/25,Dinner,East Side (Taqueria),Tortilla,48,72,0,72,,VGN,0,1.5
Corn Tortilla,3/17/25,Lunch,East Side (Taqueria),Tortilla,12,30,0,30,,VGN,0,2.5
Corn Tortilla,3/17/25,Dinner,East Side (Taqueria),Tortilla,48,24,0,24,,VGN,0,0.5
Corn Tortilla,3/18/25,Lunch,East Side (Taqueria),Tortilla,36,36,0,36,,VGN,0,1
Corn Tortilla,3/31/25,Lunch,East Side (Taqueria),Tortilla,24,36,0,36,,VGN,0,1.5
Corn Tortilla,4/16/25,Dinner,East Side (Taqueria),Tortilla,36,36,0,36,,VGN,0,1
Corn Tortilla ,3/15/25,Dinner,East Side (Taqueria),Tortilla,48,72,0,72,,VGN,0,1.5
Cranberry Orange Bread,3/18/25,Breakfast,Bakery,Slice,80,100,10,90,,VGT,0.1,1.25
Cranberry Orange Muffin,1/7/25,Breakfast,Bakery,Muffin,72,97,44,53,,,0.4536082474,1.347222222
Cream of Broccoli Soup,3/31/25,Lunch,Blue Plate Special,6 Oz Ladle,120,300,0,300,,VGT,0,2.5
Cream Of Mushroom Soup,3/15/25,Dinner,Blue Plate Special,6 Oz Ladle,180,180,0,180,8:00,VGT,0,1
Cream of Sweet Potato Soup,3/16/25,Dinner,Blue Plate Special,6 Oz Ladle,150,150,0,150,,VGT,0,1
Cream of Tomato Soup,3/8/25,Dinner,Blue Plate Special,6 Oz Ladle,140,140,0,140,8:15 PM,VGT,0,1
Cream Of Wheat,3/17/25,Breakfast,West Side (Cafe),1/2 Cup,35,35,0,35,,VGN,0,1
Creole Beans and Rice,4/16/25,Dinner,Blue Plate Special,3/4 Cup,450,450,50,400,,VGN,0.1111111111,
Crusty French Bread,2/21/25,Dinner,Bakery,Slice,220,220,0,220,,VGN,0,1
Diced Potatoes with Onions,1/6/25,Breakfast,West Side (Cafe),1/2 Cup,460,460,0,460,,VGN,0,1
Diced Potatoes with Onions,3/9/25,Brunch,West Side (Cafe),1/2 Cup,"1,000","1,000",0,"1,000",,VGN,0,1
Dragon Noodles ,3/14/25,Dinner,Order Up,3/4 Cup,270,270,1,269,,VGN,0.003703703704,1
Egg and Cheese Biscuit,4/17/25,Breakfast,West Side (Cafe),Sandwich,300,300,0,300,,VGT,0,
Fettuccine Pasta ,3/15/25,Dinner,Order Up,1/3 Cup,720,760,3,757,,VGN,0.003947368421,1.055555556
Fire Roasted Tomato Salsa,1/5/25,Dinner,East Side (Taqueria),3 Oz Ladle,96,96,0,96,,VGN,0,1
Fire Roasted Tomato Salsa,1/7/25,Lunch,East Side (Taqueria),4 Oz Ladle,128,,,0,,VGN,#DIV/0!,
Fish Cake,1/6/25,Lunch,Blue Plate Special,Cake,700,550,0,550,,,0,0.7857142857
Fish Cake,3/5/25,Lunch,Blue Plate Special,Unit,650,560,100,460,,VGN,0.1785714286,0.8615384615
Flour Tortilla,1/5/25,Dinner,East Side (Taqueria),Unit,12,30,0,30,,VGN,0,2.5
Flour Tortilla,1/6/25,Dinner,East Side (Taqueria),Tortilla,24,40,,40,,VGN,0,1.666666667
Flour Tortilla,1/7/25,Lunch,East Side (Taqueria),Tortilla,24,12,,12,,VGN,0,0.5
Flour Tortilla,2/25/25,Dinner,East Side (Taqueria),Unit,80,80,0,80,,VGN,0,1
Flour Tortilla,3/8/25,Dinner,East Side (Taqueria),Unit,24,36,0,36,,VGN,0,1.5
Flour Tortilla,3/9/25,Dinner,East Side (Taqueria),Unit,48,60,0,60,,VGN,0,1.25
Flour Tortilla,3/17/25,Lunch,East Side (Taqueria),Tortilla,12,24,0,24,,VGN,0,2
Flour Tortilla,3/17/25,Dinner,East Side (Taqueria),Tortilla,48,48,0,48,,VGN,0,1
Flour Tortilla,3/18/25,Lunch,East Side (Taqueria),Tortilla,48,60,0,60,,VGN,0,1.25
Flour Tortilla,3/31/25,Lunch,East Side (Taqueria),Tortilla,24,40,0,40,,VGN,0,1.666666667
Flour Tortilla,4/16/25,Dinner,East Side (Taqueria),Tortilla,80,80,0,80,,VGN,0,1
Flour Tortilla ,3/14/25,Dinner,East Side (Taqueria),Tortilla,48,72,0,72,,VGN,0,1.5
Flour Tortilla ,3/15/25,Dinner,East Side (Taqueria),Tortila,48,72,0,72,,VGN,0,1.5
Four Bean Stew,3/14/25,Dinner,Blue Plate Special,6 Oz Ladle,360,360,0,360,,VGN,0,1
French Cut Green Beans ,3/15/25,Dinner,Blue Plate Special,1/2 Cup,440,650,0,650,8:45,VGN,0,1.477272727
French Peach Crumb Pie,3/8/25,Dinner,Bakery,Slice,380,380,100,280,,"VGN, Nuts",0.2631578947,1
Fresh Broccoli Spears,3/16/25,Dinner,Blue Plate Special,1/2 Cup,520,550,0,550,,VGN,0,1.057692308
Fresh Spinach with Garlic,4/17/25,Lunch,Blue Plate Special,1/2 Cup,240,60,0,60,,VGN,0,
Fresh Vegetable Medley,3/9/25,Dinner,Blue Plate Special,1/2 Cup,350,350,0,350,8:45 PM,VGN,0,1
Fruit Relish,3/5/25,Lunch,Blue Plate Special,1/2 Oz.,320,320,0,320,,VGN,0,1
Garlic Mashed Red Potatoes,3/15/25,Dinner,Blue Plate Special,1/2 Cup,850,850,0,850,8:30,VGT,0,1
Garlic Naan Bread,2/25/25,Dinner,Bakery,Naan (Piece?),600,600,0,600,,VGT,0,1
German Apple Cake with Cream Cheese,3/16/25,Dinner,Bakery,Slice,450,384,0,384,,VGT,0,0.8533333333
Grapefruit Halves,3/2/25,Brunch,Salads/Deli,Half,130,120,20,100,,VGN,0.1666666667,0.9230769231
Grass Fed Burger,3/13/25,Dinner,West Side (Cafe),Burger,960,,,0,,,#DIV/0!,
Grass Fed Burger,4/17/25,Lunch,West Side (Cafe),Burger,1200,1200,0,1200,2:20 PM,,0,
Greek Salad,1/7/25,Breakfast,West Side (Cafe),1/2 Cup,240,400,,400,,,0,1.666666667
Greek Salad,3/4/25,Lunch,Salads/Deli,1/2 Cup,330,500,0,500,,VGT,0,1.515151515
Green Rice,1/5/25,Dinner,East Side (Taqueria),1/2 Cup,256,256,0,256,,VGN,0,1
Grilled Cheese & Tomato on Wheat,1/6/25,Lunch,West Side (Cafe),1/2 Sandwich,180,180,0,180,,VGT,0,1
Grilled Cheese & Tomato on Wheat,2/18/25,Lunch,West Side (Cafe),1/2 Sandwich,170,170,10,160,,,0.05882352941,1
Grilled Cheese & Tomato on Wheat,3/18/25,Lunch,West Side (Cafe),1/2 Sandwich,170,170,10,160,,VGT,0.05882352941,1
Grilled Jack on Sourdough,3/17/25,Lunch,West Side (Cafe),1/2 Sandwich,280,280,0,280,,VGT,0,1
Grilled Jack on Sourdough,4/17/25,Lunch,West Side (Cafe),1/2 Sandwich,270,270,0,270,,VGT,0,
Grilled Mozzarella & Basil on Sourdough,3/31/25,Lunch,West Side (Cafe),1/2 Sandwich,300,300,0,300,,VGT,0,1
Grilled Swiss/bacon on Sourdough,3/9/25,Brunch,Blue Plate Special,1/2 Sandwich,460,400,0,400,,,0,0.8695652174
Grilled Tomato Basil Mozz Sandwich,3/13/25,Dinner,West Side (Cafe),1/2 Sandwich,280,280,,280,,VGT,0,1
Grilled Tuna Melt on Wheat,3/5/25,Lunch,West Side (Cafe),1/2 Sandwich,280,280,0,280,,,0,1
Gumbo Soup,3/17/25,Lunch,Blue Plate Special,6 Oz Ladle,120,300,0,300,,VGN,0,2.5
Ham and Pineapple Pizza,2/21/25,Dinner,Pizza,Slice,300,312,204,108,,,0.6538461538,1.04
Ham and Pineapple Pizza,3/5/25,Lunch,Pizza,Slice,456,48,8,40,,,0.1666666667,0.1052631579
Ham Pizza,2/23/25,Dinner,Pizza,Slice,12,12,0,12,,,0,1
Hash Browns,1/7/25,Breakfast,West Side (Cafe),1/2 Cup,440,440,,440,,,0,1
Hash Browns,3/18/25,Breakfast,West Side (Cafe),1/2 Cup,420,420,0,420,,VGN,0,1
Hash Browns,4/17/25,Breakfast,West Side (Cafe),1/2 Cup,450,450,0,450,,VGN,0,
Hawaiian Sweet Bread,2/24/25,Dinner,Bakery,Slice,144,150,0,150,,VGT,0,1.041666667
Hawaiian Sweet Roll,1/6/25,Lunch,Bakery,Roll,108,130,0,130,,VGT,0,1.203703704
Hawaiian Sweet Roll,3/17/25,Lunch,Bakery,Roll,84,120,19,101,,VGT,0.1583333333,1.428571429
Herb Breadsticks,1/5/25,Dinner,Pizza,Slice,48,48,0,48,,VGN,0,1
Herb Breadsticks,1/6/25,Lunch,Pizza,Slice,72,72,0,72,,VGN,0,1
Herb Breadsticks,2/21/25,Dinner,Pizza,Slice,48,72,0,72,,VGN,0,1.5
Herb Breadsticks,2/22/25,Dinner,Pizza,Slice,48,72,0,72,,VGN,0,1.5
Herb Breadsticks,2/23/25,Dinner,Pizza,Slice,48,36,0,36,,VGN,0,0.75
Herb Breadsticks,2/25/25,Dinner,Pizza,Slice,48,48,0,48,,VGT,0,1
Herb Breadsticks,3/5/25,Lunch,Pizza,Slice,48,3,0,3,,VGN,0,0.0625
Herb Breadsticks,3/6/25,Lunch,Pizza,Slice,48,3,0,3,2,VGN,0,0.0625
Herb Breadsticks,3/7/25,Lunch,Pizza,Slice,48,3,0,3,4,VGN,0,0.0625
Herb Breadsticks,3/8/25,Dinner,Pizza,Slice,48,96,0,96,,VGN,0,2
Herb Breadsticks,3/8/25,Brunch,Pizza,Slice,48,48,20,28,,VGN,0.4166666667,1
Herb Breadsticks,3/9/25,Brunch,Pizza,Slice,48,48,10,38,,VGN,0.2083333333,1
Herb Breadsticks,3/14/25,Dinner,Pizza,Slice,48,72,0,72,,VGN,0,1.5
Herb Breadsticks,3/15/25,Dinner,Pizza,Slice,48,96,0,96,,VGN,0,2
Herb Breadsticks,3/15/25,Brunch,Pizza,Slice,48,48,12,36,,VGN,0.25,1
Herb Breadsticks,3/17/25,Dinner,Pizza,Slice,48,48,0,48,,VGN,0,1
