Food Item,Rec 1,Rec 1 Location,Rec 2,Rec 2 Location,Rec 3,Rec 3 Location,Rec 4,Rec 4 Location
Brownie (w/nuts) (v),Confetti Cake w/Butter Cream Icing (v),Bakery,Oatmeal Raisin Walnut Cookie (w/nuts)(v),Bakery,Blueberry Scone (vgn),Bakery,Chocolate Chocolate Chip Bar (v),Bakery
Tomato Basil Soup (v),Pozole Soup with Condiments,Blue Plate Special,Vegetable Noodle Soup (vgn),Blue Plate Special,Tortilla Soup (vgn),Blue Plate Special,Curried Chicken Soup,Blue Plate Special
Pork Loin Roast,Teriyaki Chicken,Blue Plate Special,Cauliflower and Broccoli (vgn),Blue Plate Special,Salisbury Steaks,Blue Plate Special,Pork Loin Roast with Garlic & Ginger,Blue Plate Special
Crusty French Bread (vgn),Focaccia Bread (vgn),Bakery,Whole Wheat Banana Bread (v),Bakery,Cheese Roll (v),Bakery,Olive Roll (v),Bakery
Rocky Road Tart (w/nuts),Macaroon (w/nuts) (v),Bakery,Cream Cheese Strudel (v),Bakery,Snickerdoodle (v),Bakery,Sourdough Rounds (vgn),Bakery
Chilaquiles de Queso (No Egg) (v),Grilled Jack on Sourdough (v),Grill (Cafe),Grilled Mozzarella & Tomato on Wheat (v),Grill (Cafe),Grilled Cheddar on White (v),Grill (Cafe),Shoestring French Fries (vgn),Grill (Cafe)
Sticky Bun (w/nuts) (v),Cinnamon and Sugar Muffin (v),Bakery,Coconut Chiffon Cake (v),Bakery,French Peach Crumb Pie (w/nuts) (vgn),Bakery,Yellow Cupcake w/Chocolate Ganache (v),Bakery
Pulled Pork Buffalo Style Sandwich,Chicken Caesar Wrap,Blue Plate Special,Italian Sub,Blue Plate Special,Reuben Sandwich,Blue Plate Special,Open Face Grilled Eggplant Sandwich (v),Blue Plate Special
Ground Beef Soft Corn Taco,Carnitas Taco,Taqueria (East Side),Turkey Hard Taco,Taqueria (East Side),Black Bean & Rice Quesadilla (v),Taqueria (East Side),Roasted Vegetable Quesadilla (v),Taqueria (East Side)
Vegetable & Jalapeno Pizza (v),Tomato Basil Pizza on Wheat (v),Pizza,Bacon Tomato Basil Pizza,Pizza,Roasted Tomato & Basil Wheat Pizza (v),Pizza,Three Cheese Pizza (v),Pizza
Ma Po Tofu (vgn),Tomato Leek Marinara (vgn),To Order,Chicken Pad Thai with Peanut (w/nuts),To Order,Sesame Beef with Broccoli,To Order,Whole Grain Rotini w/Tomato & Garlic(vgn,To Order
Grilled Ham & Swiss Sandwich,Cheeseburger,Grill (Cafe),Grilled Chicken Burger,Grill (Cafe),Grass Fed Burger,Grill (Cafe),Turkey Burger with BBQ Sauce on Wheat,Grill (Cafe)
Marinated Italian Vegetable Salad (vgn),Jicama Salad (vgn),Salads/Deli (West Side),Macaroni Salad (v),Salads/Deli (West Side),Gazpacho Salad (vgn),Salads/Deli (West Side),German Potato Salad,Salads/Deli (West Side)
Wheat Germ Roll (v),Whole Wheat Bread (v),Bakery,Cracked Wheat Bread (v),Bakery,Hawaiian Sweet Bread (v),Bakery,Graham Bread (v),Bakery
Snickerdoodle (v),Cream Cheese Strudel (v),Bakery,Rocky Road Tart (w/nuts),Bakery,Macaroon (w/nuts) (v),Bakery,Sourdough Rounds (vgn),Bakery
Potato Leek Soup (v),Lentil Soup (vgn),Blue Plate Special,New England Clam Chowder,Blue Plate Special,Chicken Vegetable Soup,Blue Plate Special,Beef Noodle Soup,Blue Plate Special
Lasagna,Cheesy Pasta Casserole (v),Blue Plate Special,Spinach and Matzo Walnut Lasagna(w/nuts),Blue Plate Special,Italian Vegetable Stir Fry (vgn),Blue Plate Special,Mediterranean Orzo Pasta (v),Blue Plate Special
Creole Beans and Rice (vgn),Steamed Red Potatoes with Parsley (vgn),Blue Plate Special,Fresh Spinach with Garlic (vgn),Blue Plate Special,Mashed Potatoes (v),Blue Plate Special,Fresh Corn on the Cob (vgn),Blue Plate Special
Beef Enchilada,BBQ Chicken Quesadilla,Taqueria (East Side),Grilled Vegetable Soft Taco (vgn),Taqueria (East Side),Fish Taco,Taqueria (East Side),Beef Hard Shell Taco,Taqueria (East Side)
Sweet & Sour Chicken Stir Fry,Orange Chicken Stir Fry,To Order,Tofu Vegetable Stir Fry (vgn),To Order,Penne with Chicken & Mushrooms,To Order,Wheat Penne Pasta (vgn),To Order
Vegetable Lo Mein (vgn),Long Grain Rice (vgn),To Order,Chicken Fried Rice,To Order,Panfried Noodles with Vegetables (v),To Order,Vegetable Pad Thai with Peanut(w/nut)(v),To Order
Pasta Salad with Spinach & Feta (v),Pasta Salad w/Chicken & Sundried Tomato,Salads/Deli (West Side),Chickpea Pasta & Arugula Salad (vgn),Salads/Deli (West Side),Mediterranean Orzo Pasta Salad (v),Salads/Deli (West Side),Asian Spinach Salad (vgn),Salads/Deli (West Side)
Chicken Sausage Patty,Cage Free Scrambled Eggs w/Bacon &Cheese,Grill (Cafe),Matzo Brei (v),Grill (Cafe),Cage Free Scrambled Greek Eggs (v),Grill (Cafe),Grilled Hot Dog,Grill (Cafe)
Raspberry Cream Coffee Cake (w/nuts) (v),Spice & Walnut Cake (w/nuts) (v),Bakery,Kahlua Chocolate Cake (v),Bakery,Banana Cream Pie (v),Bakery,Bran Muffin (v),Bakery
Chicken Caesar Wrap,Pulled Pork Buffalo Style Sandwich,Blue Plate Special,Open Face Grilled Eggplant Sandwich (v),Blue Plate Special,Spicy Asian Vegetable Wrap (vgn),Blue Plate Special,Italian Sub,Blue Plate Special
Steamed Carrots & Zucchini (vgn),Carrots & Broccoli (vgn),Blue Plate Special,Buttermilk Fried Chicken,Blue Plate Special,Beef Gravy,Blue Plate Special,Bok Choy with Garlic & Ginger (vgn),Blue Plate Special
Chicken and Bean Burrito,Chili Lime Grilled Chicken Taco,Taqueria (East Side),Tofu Mole Enchilada (vgn),Taqueria (East Side),Chile Corn Zucchini Soft Taco (vgn),Taqueria (East Side),Bean and Cheese Burrito (v),Taqueria (East Side)
Sweet Corn Tamale Casserole (vgn),Green Rice (vgn),Taqueria (East Side),Grilled Vegetable Tostada (vgn),Taqueria (East Side),Spanish Rice w/Roasted Corn (vgn),Taqueria (East Side),Refried Beans (vgn),Taqueria (East Side)
Pesto Artichoke Pizza (v),Pineapple Pizza (v),Pizza,Vegetable & Jalapeno Pizza on Wheat (v),Pizza,Three Cheese & Olive Pizza (v),Pizza,Pineapple Pizza on Wheat (v),Pizza
Roasted Tomato & Basil Wheat Pizza (v),Three Cheese Pizza (v),Pizza,Tomato Basil Pizza on Wheat (v),Pizza,Vegetable & Jalapeno Pizza (v),Pizza,Bacon Tomato Basil Pizza,Pizza
Penne Arrabiata with Chicken,Penne with Rosemary Cream Sauce (v),To Order,Teriyaki Chicken Stir Fry,To Order,Penne Pasta (vgn),To Order,Stir Fry Shrimp and Vegetables,To Order
Greek Pasta w/Feta Tomato & Spinach (v),Chicken & Veggie Stir Fry w/Brown Rice,To Order,Pork Stir Fry with Green Beans,To Order,Turkey Stir Fry with Brown Rice,To Order,Spicy Veg. Stir Fry w/Brown Rice (vgn),To Order
Grilled Chicken Burger,Grilled Ham & Swiss Sandwich,Grill (Cafe),Cheeseburger,Grill (Cafe),Grass Fed Burger,Grill (Cafe),Turkey Burger with BBQ Sauce on Wheat,Grill (Cafe)
Grilled Cheddar on Wheat (v),Hash Browns (vgn),Grill (Cafe),Matzo Brei w/Apples (v),Grill (Cafe),Grilled Ham & Cheddar on Wheat,Grill (Cafe),Bacon,Grill (Cafe)
Strawberry Shortcake (v),Ginger Cookie (v),Bakery,Fresh Strawberry Pie,Bakery,Chocolate Chip Cake (v),Bakery,Pecan Pie Bar (w/nuts) (v),Bakery
Grilled Cajun Chicken Breast,Sauteed Zucchini with Garlic (vgn),Blue Plate Special,Eggplant Parmesan Casserole (v),Blue Plate Special,Chicken Gravy,Blue Plate Special,Mushroom Gravy,Blue Plate Special
Crookneck Squash & Herbs (vgn),Kale/Peppers and Garlic (vgn),Blue Plate Special,Baby Carrots with Tarragon (vgn),Blue Plate Special,Herbed Rotisserie Chicken w/Beet Dip,Blue Plate Special,Herb & Garlic Crusted Tilapia,Blue Plate Special
Chili Lime Grilled Chicken Taco,Chile Corn Zucchini Soft Taco (vgn),Taqueria (East Side),Chicken and Bean Burrito,Taqueria (East Side),Tofu Mole Enchilada (vgn),Taqueria (East Side),Chicken Bean & Rice Burrito,Taqueria (East Side)
Chickpea Pasta & Arugula Salad (vgn),Mediterranean Orzo Pasta Salad (v),Salads/Deli (West Side),Pasta Salad with Spinach & Feta (v),Salads/Deli (West Side),Pasta Salad w/Chicken & Sundried Tomato,Salads/Deli (West Side),Arugula Salad with Almond (w/nuts) (vgn),Salads/Deli (West Side)
Cracked Wheat Roll (v),Onion Bread (v),Bakery,Whole Wheat Sunflower Roll (v),Bakery,Three Grain Roll (v),Bakery,Cheese Bread (v),Bakery
French Peach Crumb Pie (w/nuts) (vgn),Yellow Cupcake w/Chocolate Ganache (v),Bakery,Coconut Chiffon Cake (v),Bakery,Sticky Bun (w/nuts) (v),Bakery,Cinnamon and Sugar Muffin (v),Bakery
Chorizo Breakfast Burrito,Chipotle Bean Burger (vgn),Grill (Cafe),Vegetable Breakfast Burrito (v),Grill (Cafe),Black Bean Burger (vgn),Grill (Cafe),Ham & Egg Breakfast Sandwich,Grill (Cafe)
Cranberry Orange Bread (w/nuts) (v),Chocolate Cherry Bread (v),Bakery,Whole Wheat Sourdough Bread (v),Bakery,Pesto Rolls (v),Bakery,Cinnamon Roll (v),Bakery
Spicy Asian Vegetable Wrap (vgn),Open Face Grilled Eggplant Sandwich (v),Blue Plate Special,Chicken Caesar Wrap,Blue Plate Special,Pulled Pork Buffalo Style Sandwich,Blue Plate Special,Italian Sub,Blue Plate Special
Cauliflower & Red Bell Pepper (vgn),Char Grilled Pork Chop,Blue Plate Special,Roast Beef,Blue Plate Special,Patty Melt,Blue Plate Special,Grilled Chicken with Ginger,Blue Plate Special
Chinese Chicken w/Spring Vegetables,Vegetable Tagine (vgn),To Order,Brown Rice (vgn),To Order,Vegetable Chop Suey (vgn),To Order,Indonesian Tofu Fried Rice (vgn),To Order
Grilled Cheese/Tomatoes/Chiles (v),Krinkle Cut French Fries (vgn),Grill (Cafe),Cage Free Scrambled Egg Whites (v),Grill (Cafe),Mexican Style Cage Free Scrambled Egg(v),Grill (Cafe),Matzo Brei w/Raisins (v),Grill (Cafe)
Chipotle Bean Burger (vgn),Grilled Chicken Breast Sandwich,Grill (Cafe),Chorizo Breakfast Burrito,Grill (Cafe),Black Bean Burger (vgn),Grill (Cafe),Vegetable Breakfast Burrito (v),Grill (Cafe)
Cheese Roll (v),Swirled Herb Bread (v),Bakery,Chocolate Bread (v),Bakery,Pinch Bread (v),Bakery,Crusty French Bread (vgn),Bakery
Lentil Soup (vgn),Potato Leek Soup (v),Blue Plate Special,New England Clam Chowder,Blue Plate Special,Chicken Vegetable Soup,Blue Plate Special,Beef Noodle Soup,Blue Plate Special
Blackened Catfish,Roasted Carrots with Garlic (vgn),Blue Plate Special,Herb Chicken Quarters,Blue Plate Special,Buffalo Chicken Drumstick,Blue Plate Special,Sauteed Squash with Herbs (vgn),Blue Plate Special
Brown Rice Artichoke Casserole (v),Pineapple Rice (vgn),Blue Plate Special,Steamed Green Beans (vgn),Blue Plate Special,Sauteed Spinach w/ Onion & Garlic (vgn),Blue Plate Special,Potato Latkes (v),Blue Plate Special
Teriyaki Chicken Stir Fry,Penne Arrabiata with Chicken,To Order,Penne with Rosemary Cream Sauce (v),To Order,Penne Pasta (vgn),To Order,Stir Fry Shrimp and Vegetables,To Order
Sweet & Sour Tofu Stir Fry (vgn),Pasta Carbonara,To Order,Pasta Primavera (vgn),To Order,Ginger Beef Stir Fry,To Order,Spicy Vegetable Stir Fry (vgn),To Order
Carrot & Raisin Salad (v),Spinach Salad (v),Salads/Deli (West Side),Israeli Couscous Salad (vgn),Salads/Deli (West Side),Caponata Salad (vgn),Salads/Deli (West Side),Black Bean Salad (vgn),Salads/Deli (West Side)
Marble Cake w/Chocolate Icing (v),Banana Chocolate Chip Cookie (vgn),Bakery,Killer Brownie (v),Bakery,Banana Coffee Cake (w/nuts) (v),Bakery,Cranberry Orange Muffin (v),Bakery
Vegetable Beef Soup,Curried Chicken Soup,Blue Plate Special,French Onion Soup (vgn),Blue Plate Special,Hearty Vegetable Soup (vgn),Blue Plate Special,Matzo Ball Soup,Blue Plate Special
Philly Cheese Steak Sandwich,Roasted Pork Loin Sandwich w/Gouda,Blue Plate Special,BBQ Chicken Sandwich,Blue Plate Special,Grilled Chicken Vincenza Sandwich,Blue Plate Special,Ham Sandwich on Whole Wheat,Blue Plate Special
Matzo Brei w/Apples (v),Bacon,Grill (Cafe),Grilled Ham,Grill (Cafe),Grilled Cheddar on Wheat (v),Grill (Cafe),Hash Browns (vgn),Grill (Cafe)
Asian Spinach Salad (vgn),Egg Salad (v),Salads/Deli (West Side),Spinach Salad,Salads/Deli (West Side),Yogurt Potato Salad (v),Salads/Deli (West Side),Kale Arugula Salad with Cranberry (vgn),Salads/Deli (West Side)
Potato Latkes (v),Sauteed Spinach w/ Onion & Garlic (vgn),Blue Plate Special,Roasted Potato Halves (vgn),Blue Plate Special,Pineapple Rice (vgn),Blue Plate Special,Brown Rice Artichoke Casserole (v),Blue Plate Special
Potato Vegetable Taco (vgn),Quesadilla w/Roasted Poblano Chile (v),Taqueria (East Side),Bean and Cheese Hard Shell Taco (v),Taqueria (East Side),Chicken Mole Taco,Taqueria (East Side),Vegetable Corn Taco (vgn),Taqueria (East Side)
Turkey Marinara,Chicken Chow Mein,To Order,Cheese Tortellini with Marinara,To Order,Spicy Basil Beef,To Order,Whole Grain Rotini (vgn),To Order
Spaghetti Pasta (vgn),Tofu Stir Fry w/Black Bean Sauce/B. Rice,To Order,Teriyaki Beef Stir Fry,To Order,Pasta Pronto (vgn),To Order,Sesame Chicken Stir Fry w/Brown Rice,To Order
Macaroni Salad (v),Gazpacho Salad (vgn),Salads/Deli (West Side),Green Bean Provencal Salad (v),Salads/Deli (West Side),Jicama Salad (vgn),Salads/Deli (West Side),Lemon Herb Quinoa Salad (vgn),Salads/Deli (West Side)
Swirled Herb Bread (v),Chocolate Bread (v),Bakery,Cheese Roll (v),Bakery,Pinch Bread (v),Bakery,Sundried Tomato Roll (v),Bakery
German Apple Cake (w/nuts) (v),Peanut Butter Bar (w/nuts) (v),Bakery,Bran Muffin (v),Bakery,Banana Cream Pie (v),Bakery,Cranberry Orange Muffin (v),Bakery
Buffalo Chicken Drumstick,Herb Chicken Quarters,Blue Plate Special,Roasted Carrots with Garlic (vgn),Blue Plate Special,Sauteed Squash with Herbs (vgn),Blue Plate Special,Cacciatora Chicken,Blue Plate Special
Matzo Brei w/Raisins (v),Tater Tots (vgn),Grill (Cafe),Ham and Cheese Crepe,Grill (Cafe),Kosher Hot Dog,Grill (Cafe),Krinkle Cut French Fries (vgn),Grill (Cafe)
Yogurt Potato Salad (v),Egg Salad (v),Salads/Deli (West Side),Broccoli Almond Salad (w/nuts) (v),Salads/Deli (West Side),Chinese Chicken Salad (w/nuts),Salads/Deli (West Side),Spinach Salad,Salads/Deli (West Side)
Herb Chicken Quarters,Roasted Carrots with Garlic (vgn),Blue Plate Special,Buffalo Chicken Drumstick,Blue Plate Special,Sauteed Squash with Herbs (vgn),Blue Plate Special,Cacciatora Chicken,Blue Plate Special
Spinach and Matzo Walnut Lasagna(w/nuts),Mediterranean Orzo Pasta (v),Blue Plate Special,Lasagna,Blue Plate Special,Cheesy Pasta Casserole (v),Blue Plate Special,Italian Vegetable Stir Fry (vgn),Blue Plate Special
Fresh Vegetable Medley (vgn),Fresh Corn on the Cob (vgn),Blue Plate Special,French Cut Green Beans (vgn),Blue Plate Special,Baked Potato (vgn),Blue Plate Special,Mashed Potatoes (v),Blue Plate Special
Sesame Beef with Broccoli,Whole Grain Rotini w/Tomato & Garlic(vgn,To Order,Dragon Noodles (vgn),To Order,Chicken Madras,To Order,Chicken Pad Thai with Peanut (w/nuts),To Order
Spicy Veg Stir Fry w/Peanut (w/nuts) (v),Spicy Turkey Citrus Stir Fry,To Order,Stir Fry Shrimp and Vegetables,To Order,Penne Pasta (vgn),To Order,Tofu Stir Fry w/Black Bean Sauce,To Order
Green Bean Provencal Salad (v),Lemon Herb Quinoa Salad (vgn),Salads/Deli (West Side),Israeli Couscous Salad (vgn),Salads/Deli (West Side),Spinach Salad (v),Salads/Deli (West Side),Gazpacho Salad (vgn),Salads/Deli (West Side)
Cherry Cobbler (vgn),Chocolate Chocolate Chip Bar (v),Bakery,Toll House Pie (v),Bakery,Blueberry Scone (vgn),Bakery,French Crumb Apple Pie (vgn),Bakery
Blintz with Strawberry Compote (v),Cream of Wheat (vgn),Grill (Cafe),Steak Fries (vgn),Grill (Cafe),Grilled Tuna Melt on Sourdough,Grill (Cafe),Grilled Hot Dog,Grill (Cafe)
Whole Wheat Banana Bread (v),Olive Roll (v),Bakery,Strawberry Bread (v),Bakery,Onion Roll (v),Bakery,Focaccia Bread (vgn),Bakery
Manhattan Clam Chowder,Chili Style Lentil Soup (vgn),Blue Plate Special,Far East Vegetable Soup (vgn),Blue Plate Special,White Bean Basque Soup (vgn),Blue Plate Special,Chickpea Vegetable Soup (vgn),Blue Plate Special
Open Face Grilled Eggplant Sandwich (v),Spicy Asian Vegetable Wrap (vgn),Blue Plate Special,Chicken Caesar Wrap,Blue Plate Special,Pulled Pork Buffalo Style Sandwich,Blue Plate Special,Italian Sub,Blue Plate Special
Mexican Pizza (vgn),Ham Pizza,Pizza,Veggie Pizza w/Cilantro Pesto (vgn),Pizza,Chicken Garlic Pesto Pizza,Pizza,Chicken Florentine Pizza w/White Sauce,Pizza
Spicy Turkey Citrus Stir Fry,Spicy Veg Stir Fry w/Peanut (w/nuts) (v),To Order,Stir Fry Shrimp and Vegetables,To Order,Penne Pasta (vgn),To Order,Tofu Stir Fry w/Black Bean Sauce,To Order
Kosher Hot Dog,Ham and Cheese Crepe,Grill (Cafe),Cage Free Scrambled Eggs (v),Grill (Cafe),Tater Tots (vgn),Grill (Cafe),Matzo Brei w/Raisins (v),Grill (Cafe)
Potato Roll (v),Cornbread (v),Bakery,Raisin Rum Rice Pudding (v),Bakery,Whole Wheat Sourdough Bread (v),Bakery,French Peach Crumb Pie (vgn),Bakery
Banana Chocolate Chip Cookie (vgn),Killer Brownie (v),Bakery,Cranberry Orange Muffin (v),Bakery,German Apple Cake (w/nuts) (v),Bakery,Peanut Butter Bar (w/nuts) (v),Bakery
Salmon Cake with Classic Beurre Blanc,Bean & Barley Soup (vgn),Blue Plate Special,Fish Cake,Blue Plate Special,Fish Sandwich on Wheat Bun w/Tartar Sauc,Blue Plate Special,Mushroom Barley Soup (vgn),Blue Plate Special
Eggplant Parmesan Casserole (v),Sauteed Zucchini with Garlic (vgn),Blue Plate Special,Grilled Cajun Chicken Breast,Blue Plate Special,Chicken Gravy,Blue Plate Special,Grilled Chicken with Ginger,Blue Plate Special
Vegetable Rice Pilaf (vgn),Rice Pilaf (vgn),Blue Plate Special,Creole Beans and Rice (vgn),Blue Plate Special,Steamed Red Potatoes with Parsley (vgn),Blue Plate Special,Fresh Spinach with Garlic (vgn),Blue Plate Special
Black Bean & Rice Quesadilla (v),Turkey Hard Taco,Taqueria (East Side),Italian Fish Taco,Taqueria (East Side),Calabacitas Taco (vgn),Taqueria (East Side),Carnitas Taco,Taqueria (East Side)
Chicken Fried Rice,Panfried Noodles with Vegetables (v),To Order,Vegetable Pad Thai with Peanut(w/nut)(v),To Order,Garden Vegetable Marinara Sauce (vgn),To Order,Farfalle with Roasted Vegetables (vgn),To Order
Tofu Stir Fry w/Black Bean Sauce/B. Rice,Spaghetti Pasta (vgn),To Order,Pasta Pronto (vgn),To Order,Teriyaki Beef Stir Fry,To Order,Sweet & Sour Chicken Stir Fry,To Order
Mediterranean Orzo Pasta Salad (v),Chickpea Pasta & Arugula Salad (vgn),Salads/Deli (West Side),Pasta Salad with Spinach & Feta (v),Salads/Deli (West Side),Pasta Salad w/Chicken & Sundried Tomato,Salads/Deli (West Side),Chinese Vegetable Stir Fry (vgn),To Order
Onion Bread (v),Whole Wheat Sunflower Roll (v),Bakery,Three Grain Roll (v),Bakery,Cheese Bread (v),Bakery,Garlic French Bread (v),Bakery
Coconut Chiffon Cake (v),Sticky Bun (w/nuts) (v),Bakery,Cinnamon and Sugar Muffin (v),Bakery,French Peach Crumb Pie (w/nuts) (vgn),Bakery,Yellow Cupcake w/Chocolate Ganache (v),Bakery
Egg and Cheese Biscuit (v),Whole Wheat French Toast (v),Grill (Cafe),Sausage & Cheese Biscuit,Grill (Cafe),Waffle (v),Grill (Cafe),Oatmeal (vgn),Grill (Cafe)
Peruvian Ham Butifarra Sandwich,Ginger Peanut Tofu Wrap (w/nuts) (vgn),Blue Plate Special,Reuben Sandwich,Blue Plate Special,Italian Sub,Blue Plate Special,Turkey Pastrami & Mozzarella Sandwich,Blue Plate Special
Fresh Spinach with Garlic (vgn),Steamed Red Potatoes with Parsley (vgn),Blue Plate Special,Mashed Potatoes (v),Blue Plate Special,Creole Beans and Rice (vgn),Blue Plate Special,Fresh Corn on the Cob (vgn),Blue Plate Special
Chicken Quesadilla,Vegetable Hard Shell Taco (vgn),Taqueria (East Side),Italian Fish Taco,Taqueria (East Side),Calabacitas Taco (vgn),Taqueria (East Side),Chicken Fried Taco,Taqueria (East Side)
Spanish Rice w/Roasted Corn (vgn),Mexican Rice (vgn),Taqueria (East Side),Sweet Corn Tamale Casserole (vgn),Taqueria (East Side),Green Rice (vgn),Taqueria (East Side),Grilled Vegetable Tostada (vgn),Taqueria (East Side)
Bacon Tomato Basil Pizza,Vegetable & Jalapeno Pizza (v),Pizza,Tomato Basil Pizza on Wheat (v),Pizza,Roasted Tomato & Basil Wheat Pizza (v),Pizza,Sausage Pizza,Pizza
Three Cheese Pizza on Wheat (v),Chicken Garlic Pesto Pizza,Pizza,Veggie Pizza w/Cilantro Pesto (vgn),Pizza,Pepperoni Pizza,Pizza,Vegetable Pizza on Wheat (v),Pizza
Creamy Bolognese Sauce,White Clam Sauce,To Order,Mushroom Marinara Sauce (vgn),To Order,Meat Sauce,To Order,Pesto Sauce (v),To Order
Quinoa Salad (vgn),Dandelion Greens w/Matzo Crumbles (vgn),Salads/Deli (West Side),Strawberry Radicchio Salad (w/nuts)(vgn),Salads/Deli (West Side),Thai Cucumber Salad (vgn),Salads/Deli (West Side),Cucumber wiith Tarragon Salad (vgn),Salads/Deli (West Side)
Peanut Butter Bar (w/nuts) (v),German Apple Cake (w/nuts) (v),Bakery,Bran Muffin (v),Bakery,Banana Cream Pie (v),Bakery,Spice & Walnut Cake (w/nuts) (v),Bakery
Herbed Rotisserie Chicken w/Beet Dip,Baked Ono with Garlic & Herb,Blue Plate Special,Shaved Turkey on Wheat,Blue Plate Special,Kale/Peppers and Garlic (vgn),Blue Plate Special,Crookneck Squash & Herbs (vgn),Blue Plate Special
Mushroom Stroganoff (v),Pork Loin Roast with Garlic & Ginger,Blue Plate Special,Teriyaki Chicken,Blue Plate Special,Pork Loin Roast,Blue Plate Special,Cauliflower and Broccoli (vgn),Blue Plate Special
Chicken Nachos,Beef Fajita,Taqueria (East Side),Pork Morisqueta,Taqueria (East Side),Vegetarian Morisqueta (v),Taqueria (East Side),Beef Birria,Taqueria (East Side)
Orange Chicken Stir Fry,Sweet & Sour Chicken Stir Fry,To Order,Pork Stir Fry,To Order,Korean Beef Stir Fry with Rice,To Order,Penne with Chicken & Mushrooms,To Order
Cheese Bread (v),Garlic French Bread (v),Bakery,Roasted Garlic Roll (v),Bakery,Three Grain Roll (v),Bakery,Sourdough Roll (v),Bakery
Cream Cheese Strudel (v),Snickerdoodle (v),Bakery,Macaroon (w/nuts) (v),Bakery,Rocky Road Tart (w/nuts),Bakery,Sourdough Rounds (vgn),Bakery
Vegetable Breakfast Burrito (v),Grilled Chicken Breast Sandwich,Grill (Cafe),Ham & Egg Breakfast Sandwich,Grill (Cafe),Chipotle Bean Burger (vgn),Grill (Cafe),Chorizo Breakfast Burrito,Grill (Cafe)
Banana Chocolate Chip Muffin (v),German Apple Cake w/Crm Chse (w/nuts) (v,Bakery,Cinnamon and Sugar Muffin (v),Bakery,Sticky Bun (w/nuts) (v),Bakery,Coconut Chiffon Cake (v),Bakery
Chipotle Beef Wrap,Turkey Sub Sandwich,Blue Plate Special,Italian Chopped Sandwich,Blue Plate Special,Chicken Caesar Sandwich on Focaccia,Blue Plate Special,Spicy Asian Vegetable Wrap (vgn),Blue Plate Special
Vegetable Empanada (v),Chicken and Rice Tostada,Taqueria (East Side),Rice with Cilantro & Onions (vgn),Taqueria (East Side),Corn Tortilla (vgn),Taqueria (East Side),Pinto Beans (vgn),Taqueria (East Side)
Rice with Cilantro & Lime (vgn),Spanish Rice (vgn),Taqueria (East Side),Refried Black Beans (vgn),Taqueria (East Side),Yellow Rice (vgn),Taqueria (East Side),Bean & Rice Tostada (vgn),Taqueria (East Side)
Mushroom Pizza (v),Canadian Bacon Pizza,Pizza,Tomato Basil Pizza (v),Pizza,Roasted Tomato & Basil Pizza (v),Pizza,Cheese Pizza (v),Pizza
Grilled Tuna Melt on Sourdough,Grilled Hot Dog,Grill (Cafe),Steak Fries (vgn),Grill (Cafe),Chicken Sausage Patty,Grill (Cafe),Cage Free Scrambled Eggs w/Bacon &Cheese,Grill (Cafe)
Dandelion Greens w/Matzo Crumbles (vgn),Quinoa Salad (vgn),Salads/Deli (West Side),Strawberry Radicchio Salad (w/nuts)(vgn),Salads/Deli (West Side),Santa Fe Salad (vgn),Salads/Deli (West Side),Chickpea Salad (vgn),Salads/Deli (West Side)
Thai Cucumber Salad (vgn),Cucumber wiith Tarragon Salad (vgn),Salads/Deli (West Side),Wild Rice Garden Salad (vgn),Salads/Deli (West Side),Strawberry Radicchio Salad (w/nuts)(vgn),Salads/Deli (West Side),Asparagus Matzo Salad (vgn),Salads/Deli (West Side)
Tres Leches Cake (v),Ginger Cookie (v),Bakery,Strawberry Muffin (v),Bakery,French Peach Crumb Pie (vgn),Bakery,Strawberry Shortcake (v),Bakery
Chicken Madeira,Tri Tip Roast,Blue Plate Special,Stuffed Peppers (vgn),Blue Plate Special,Smoked Fish Fritters w/Beet Vinaigrette,Blue Plate Special,Steamed Zucchini (vgn),Blue Plate Special
Smoked Fish Fritters w/Beet Vinaigrette,Stuffed Peppers (vgn),Blue Plate Special,Roasted Cauliflower w/Garlic (vgn),Blue Plate Special,Chicken Madeira,Blue Plate Special,Tri Tip Roast,Blue Plate Special
Spinach with Fresh Garlic & Ginger (vgn),Mashed Red Potatoes (v),Blue Plate Special,Baked Potato (vgn),Blue Plate Special,French Cut Green Beans (vgn),Blue Plate Special,Vegetable Turnover (v),Blue Plate Special
Beef Fajita,Chicken Nachos,Taqueria (East Side),Vegetarian Morisqueta (v),Taqueria (East Side),Beef Birria,Taqueria (East Side),Beef Nachos,Taqueria (East Side)
Chicken Sundried Tomato Pesto Pasta,Thai Peanut Chicken Stir Fry (w/nuts),To Order,Tofu Stir Fry w/Black Bean Sauce,To Order,Spicy Turkey Citrus Stir Fry,To Order,Spicy Veg Stir Fry w/Peanut (w/nuts) (v),To Order
Southwestern Chopped Salad (v),Chickpea Salad (vgn),Salads/Deli (West Side),Santa Fe Salad (vgn),Salads/Deli (West Side),Tabouli Salad (vgn),Salads/Deli (West Side),Caesar Salad (v),Salads/Deli (West Side)
Sesame Bread (v),Rosemary Bread (v),Bakery,Sundried Tomato Roll (v),Bakery,Pinch Bread (v),Bakery,Chocolate Bread (v),Bakery
