Food Item,Rec 1,Rec 1 Location,Rec 2,Rec 2 Location,Rec 3,Rec 3 Location,Rec 4,Rec 4 Location
Ensalada de Nopales (v),Argentinian Grilled Vegetable (vgn),Deli,Armenian Salad (vgn),Deli,Tuna Salad,Deli,Red Potato Salad with Dill (v),Deli
Sliced Pepper Jack Cheese (v),Sliced Turkey,Deli,Sliced Pastrami,Deli,Sliced Ham,Deli,Coleslaw (v),Deli
Pollo Asado,Miso Broth with Udon Noodles (v),Mongolian Grill,Beef Chow Mein,Mongolian Grill,Lamb Greek Gyro,Mongolian Grill,Cashew Chicken (w/nuts),Mongolian Grill
Carnitas Taco,Tacos Al Pastor,Mongolian Grill,Five Spice Vegetable Stir Fry (vgn),Mongolian Grill,Chinese Style Tofu & Vegetables (vgn),Mongolian Grill,Cucumber Tzatziki (v),Mongolian Grill
Chicken Mole (w/nuts),Ginger Beef Pepper Steak,Euro,Buttered Noodles (v),Euro,Honey Baked Chicken Quarters,Euro,Arroz Blanco,Euro
Arroz Blanco,Buttered Noodles (v),Euro,Garlic Mushroom Turnover (v),Euro,Chili Black Bean (vgn),Euro,Roast Beef,Euro
Calabacitas (vgn),Chicken Congee,Euro,Grilled Ono with Pesto Butter,Euro,Green Chili & Cheese Tamales (vgn),Euro,Sauteed Yellow Squash with Herbs (vgn),Euro
Tamales de Puerco,Sauteed Zucchini with Garlic (vgn),Euro,Green Bean Almondine (w/nuts) (vgn),Euro,Roast Leg of Pork,Euro,Turkey Gravy,Euro
Green Chili & Cheese Tamales (vgn),Sauteed Yellow Squash with Herbs (vgn),Euro,Grilled Ono with Pesto Butter,Euro,Calabacitas (vgn),Euro,Chicken Congee,Euro
Tamales de Rajas,Macaroni Goulash,Euro,Honey Baked Chicken Quarters,Euro,Sauteed Yellow Squash with Herbs (vgn),Euro,Green Chili & Cheese Tamales (vgn),Euro
Ensalada de Chivo (Salpicon Style Goat),Spinach Pecan Bacon & Cran Salad (w/nut),Salads,Arugula Salad with Goat Cheese (v),Salads,Cucumber & Onion Salad (vgn),Salads,Gazpacho Salad (vgn),Salads
Esquites,Mediterranian Couscous (w/nuts) (v),Salads,Colorful Coleslaw (v),Salads,Jicama Pico De Gallo (vgn),Salads,Charoset (w/nuts) (v),Salads
Chorizo Pizza,Assorted Bell Pepper Pizza on Wheat (v),Pizza,Artichoke Pizza with Pesto on Wheat (v),Pizza,Vegetable Pizza on Wheat (v),Pizza,Olive Mushroom Pizza on Wheat (v),Pizza
Molletes (v),Bacon Tomato Basil,Pizza,Ham & Pineapple,Pizza,Cucumber Tzatziki (v),Mongolian Grill,Three Cheese Pizza on Wheat (v),Pizza
Traditional Cheese Pizza on Wheat (v),Chicken Florentine Pizza w/White Sauce,Pizza,Tomato Pesto Pizza on Wheat (v),Pizza,Arugula & Artichoke Pizza on White (v),Pizza,Sausage Olive Pizza,Pizza
Sopa de Lima,Grilled Ham with Honey Glaze,Grill (Cafe),Shrimp Sopes w/Roasted Poblano Crema,Grill (Cafe),Hash Browns (vgn),Grill (Cafe),Hot Dog,Grill (Cafe)
Steak Ranchero,Mardi Gras Eggs with Ham,Grill (Cafe),Sausage Patty,Grill (Cafe),Cream of Wheat (vgn),Grill (Cafe),Cage Free Scrambled Eggs with Cheese (v),Grill (Cafe)
Mexican Rice (vgn),Ginger Basmati Rice (vgn),Grill (Cafe),Diced Potatoes (vgn),Grill (Cafe),Long Grain Rice (vgn),Grill (Cafe),Mexican Crispy Roasted Potatoes (v),Grill (Cafe)
Gardenburger (v),Corn Quesadilla (v),Grill (Cafe),Grilled Turkey Burger,Grill (Cafe),Cheeseburger,Grill (Cafe),Grilled Chicken Taco,Grill (Cafe)
Shrimp Sopes w/Roasted Poblano Crema,Grilled Ham with Honey Glaze,Grill (Cafe),Sopa de Lima,Grill (Cafe),Hash Browns (vgn),Grill (Cafe),Hot Dog,Grill (Cafe)
Chicharron en Salsa Verde,Falafel on Pita with Raita Sauce (v),Grill (Cafe),Apple Crepe w/Caramel Sauce,Grill (Cafe),Classic French Onion Soup with Croutons,Grill (Cafe),Canadian Bacon,Grill (Cafe)
Mexican Crispy Roasted Potatoes (v),Home Fried Potatoes (vgn),Grill (Cafe),Mexican Rice (vgn),Grill (Cafe),Potatoes O'Brien (vgn),Grill (Cafe),Long Grain Rice (vgn),Grill (Cafe)
Fresas con Crema (v),Snickerdoodle (v),Bakery,Galaktoboureko (Greek Pudding) (v),Bakery,Pandesal (v),Bakery,Macaroon (v),Bakery
Chocoflan (v),Apple Matzo Kugel (w/nuts) (v),Bakery,Panna Cotta,Bakery,Pumpkin Crisp (v),Bakery,Pao de Queijo (v),Bakery
Pan con Queso y Jalapeno,Pao de Queijo (v),Bakery,Caramel Flan (v),Bakery,Classic French Napoleon (v),Bakery,Pumpkin Crisp (v),Bakery
Couscous Salad with Tomato & Herb (v),Greek Eggplant Salad (vgn),Deli,Brazilian Black Bean Salad (vgn),Deli,Spinach Salad with Honey Dressing (v),Deli,Roasted Vegetables (vgn),Deli
Greek Salad (v),Antipasto Salad (vgn),Deli,Red Potato Salad with Dill (v),Deli,Tuna Salad,Deli,Argentinian Grilled Vegetable (vgn),Deli
Pork & Veggie Stir Fry,Beef Stir Fry with Spicy Sauce,Mongolian Grill,Stir Fry Pork with Vegetables,Mongolian Grill,Beef Broccoli & Mushroom Stir Fry,Mongolian Grill,Tofu Vegetable Stir Fry (vgn),Mongolian Grill
Stir Fry Noodles with Vegetables (vgn),Spicy Stir Fry Sauce (vgn),Mongolian Grill,Vegetable Stir Fry (vgn),Mongolian Grill,Chicken & Vegetable Stir Fry,Mongolian Grill,Chicken Stir Fry with Green Beans,Mongolian Grill
Tortilla Chicken Soup,Spicy Black Bean Soup (v),Mongolian Grill,Beef Albondigas Soup,Mongolian Grill,Broccoli Garlic Soup (vgn),Mongolian Grill,Vegetable Beef Soup,Mongolian Grill
Rotisserie Chicken,Three Bean Pilaf (vgn),Euro,Pork Loin Roast With Garlic and Ginger,Euro,Steamed Crookneck Squash (vgn),Euro,Buttermilk Chicken Fried,Euro
Fresh Green Beans (vgn),Corn (vgn),Euro,Oven Roasted Red Potatoes (vgn),Euro,Marinated Italian Vegetable Salad (vgn),Euro,Risotto with Fresh Vegetables (vgn),Euro
Fresh Broccoli Spears (vgn),Baby Carrots with Tarragon (vgn),Euro,Sauteed Fresh Carrots (vgn),Euro,Sauteed Fresh Cauliflower (vgn),Euro,Chili and Noodles (vgn),Euro
Risotto with Fresh Vegetables (vgn),Fresh Vegetables Saute with Garlic (vgn),Euro,Oven Roasted Red Potatoes (vgn),Euro,Corn (vgn),Euro,Fresh Green Beans (vgn),Euro
Potatoes Au Gratin (v),Potato Latkes (v),Euro,Mashed Potatoes with Herbs (v),Euro,Refried Beans (vgn),Euro,Basmati Rice with Peas (vgn),Euro
Penne Pasta (vgn),Rotini Pasta (vgn),Pasta,Bowtie Pasta (vgn),Pasta,Linguini Pasta (vgn),Pasta,Pasta Shells w/Eggplant & Marinara (vgn),Pasta
Chicken Marinara Sauce,White Wine Garlic Sauce with Chicken,Pasta,Chicken Sausage & Mushroom Sauce,Pasta,Fettuccine with Mustard Chicken Sauce,Pasta,Fresh Tomato Basil Sauce (vgn),Pasta
Fresh Basil Sauce (v),Red Clam Sauce,Pasta,Tomato Basil & Garlic Sauce (vgn),Pasta,Marinara Sauce with Sausage,Pasta,Meat Sauce,Pasta
Jasmine Rice (vgn),Fusilli with Roasted Vegetables (v),Pasta,Garden Vegetable Marinara (vgn),Pasta,White Navy Beans (vgn),Pasta,Pinto Beans (vgn),Pasta
Sausage Olive Pizza,Pesto and Vegetable Pizza on Wheat (v),Pizza,Chicken Florentine Pizza w/White Sauce,Pizza,Traditional Cheese Pizza on Wheat (v),Pizza,Roasted Garlic Onion & Pepper Pizza (v),Pizza
Vegetable Pizza on Wheat (v),Olive Mushroom Pizza on Wheat (v),Pizza,Artichoke Pizza with Pesto on Wheat (v),Pizza,Assorted Bell Pepper Pizza on Wheat (v),Pizza,Sausage Mushroom Pizza,Pizza
Bread Olive (vgn),Cheese Bread (v),Bakery,Olive Whole Wheat Bread (vgn),Bakery,Sour Cream & Chives Roll (v),Bakery,Banana Nut Bread (w/nuts) (v),Bakery
Yellow Cake with Chocolate Icing (v),Chocolate Chip Cake Kahlua (v),Bakery,Mandarin Orange Cake (v),Bakery,Banana Choc Chip Muffin (v),Bakery,Raspberry Scone (v),Bakery
Arroz con Leche (v),Grilled Turkey & Swiss on Sourdough,Grill (Cafe),Beefy Eggs Machaca,Grill (Cafe),Pozole with Condiments,Grill (Cafe),Denver Omelet,Grill (Cafe)
Beefy Eggs Machaca,Arroz con Leche (v),Grill (Cafe),Denver Omelet,Grill (Cafe),Grilled Turkey & Swiss on Sourdough,Grill (Cafe),Pozole with Condiments,Grill (Cafe)
Blueberry Pancake (v),Pancake (v),Grill (Cafe),Strawberry Pancake (v),Grill (Cafe),Whole Wheat Pancake (Housemade) (v),Grill (Cafe),Egg Ham & Cheese English Muffin Sandwich,Grill (Cafe)
Potatoes O'Brien (vgn),Cottage Fried Potatoes (vgn),Grill (Cafe),Wild and Long Grain Rice Blend (vgn),Grill (Cafe),Home Fried Potatoes (vgn),Grill (Cafe),Mexican Crispy Roasted Potatoes (v),Grill (Cafe)
Assorted Bagels & Condiments,Danish Pastry (w/nuts) (v),Bakery,Chocolate Macaroon (v),Bakery,Cranberry Almond Biscotti (w/nuts) (v),Bakery,Baba au Rum (v),Bakery
Ginger with Cardamom Scone (v),Rice Krispie Treat,Bakery,Blueberry Muffin (vgn),Bakery,Confetti Cake (v),Bakery,Banana Macadamia Nut Cake (w/nuts) (v),Bakery
Tuna Salad,Red Potato Salad with Dill (v),Deli,Argentinian Grilled Vegetable (vgn),Deli,Antipasto Salad (vgn),Deli,Ensalada de Nopales (v),Deli
Rice with Cilantro & Onions (vgn),Rice Noodles with Black Bean Sauce (vgn),Mongolian Grill,Tofu Vegetable Coconut Curry (vgn),Mongolian Grill,Spicy Tofu w/Vegetables & Noodles (vgn),Mongolian Grill,Vegetable Yakisoba (v),Mongolian Grill
Lamb Greek Gyro,Cashew Chicken (w/nuts),Mongolian Grill,Sauteed Kale (vgn),Mongolian Grill,Coriander Lime Aioli (v),Mongolian Grill,Beef Chow Mein,Mongolian Grill
Seitan Shawarma (vgn),Cashew Veggie Tofu (w/nuts) (vgn),Mongolian Grill,Orange Tofu (vgn),Mongolian Grill,Teriyaki Beef,Mongolian Grill,Chicken Pad Thai with Peanut (w/nuts),Mongolian Grill
Cucumber Tzatziki (v),Lemon Ginger Chicken,Mongolian Grill,Tofu Peanut Veggie Kung Pao(w/nut)(vgn),Mongolian Grill,Kung Pao Chicken with Peanuts (w/nuts),Mongolian Grill,Sweet and Sour Pork,Mongolian Grill
Garlic Shawarma Sauce (vgn),Traditional Teriyaki Sauce (vgn),Mongolian Grill,Thai Peanut Sauce (w/nuts) (vgn),Mongolian Grill,Thai Sweet Chili Sauce (vgn),Mongolian Grill,Common Thresher Shark w/Chermoula Sauce,Mongolian Grill
Armenian Mint Yogurt Sauce,Common Thresher Shark w/Chermoula Sauce,Mongolian Grill,Garlic Shawarma Sauce (vgn),Mongolian Grill,Traditional Teriyaki Sauce (vgn),Mongolian Grill,Thai Peanut Sauce (w/nuts) (vgn),Mongolian Grill
Middle Eastern Pickled Turnips (vgn),Sweet and Sour Pork,Mongolian Grill,Miso Broth with Udon Noodles (v),Mongolian Grill,Pollo Asado,Mongolian Grill,Beef Chow Mein,Mongolian Grill
Chicken Caesar Salad,Ambrosia Salad,Salads,Italian Tossed Greens (vgn),Salads,Three Bean Salad (vgn),Salads,Asian Noodle Salad (vgn),Salads
Fresh Garden Pasta Salad (vgn),Nicoise Pasta Salad,Salads,Pasta Salad with Smoked Salmon,Salads,Pasta Salad with Spinach & Feta (v),Salads,Tossed Antipasta Salad,Salads
Chicken Quarters with BBQ Sauce,Polenta with Marinara Sauce (vgn),Euro,Crispy Salmon Roll,Euro,Red Salsa (vgn),Euro,Boneless Breaded Cajun Pork Chop,Euro
Eggplant Parmigiano (v),Eggplant Parmesan Casserole (v),Euro,Herb Stuffing,Euro,Patty Melt,Euro,Couscous (vgn),Euro
Carrots with Fresh Thyme (vgn),Peas with Onions (vgn),Euro,Italian Quinoa (v),Euro,Pickled Radish - Fukujin Zuke (vgn),Euro,Cilantro Lime Salmon,Euro
Steamed Crookneck Squash (vgn),Buttermilk Chicken Fried,Euro,Mushroom Gravy,Euro,Rotisserie Chicken,Euro,Three Bean Pilaf (vgn),Euro
Ham & Pineapple,Bacon Tomato Basil,Pizza,Molletes (v),Pizza,Sauteed Zucchini (vgn),Euro,Grilled Ham with Honey Glaze,Grill (Cafe)
Three Cheese Pizza on Wheat (v),Pineapple & Jalapeno Pizza on Wheat (v),Pizza,Pepperoni Pizza,Pizza,Sausage Pizza,Pizza,Vegetable & Jalapeno Pizza on Wheat (v),Pizza
Beef Noodle Soup,Classic Miso Soup,Grill (Cafe),Chicken Vegetable Soup,Grill (Cafe),Danish Cauliflower Cheese Soup (v),Grill (Cafe),Classic French Onion Soup with Croutons,Grill (Cafe)
Grilled Cheese on Sourdough (v),Western Hash Browns (vgn),Grill (Cafe),Grilled Ham & Swiss on Sourdough,Grill (Cafe),Cage Free Scrambled Eggs w/Ham & Cheese,Grill (Cafe),Chicken Taquito,Grill (Cafe)
Sourdough Bread (vgn),Cranberry Orange Bread (w/nuts) (v),Bakery,Pesto Roll (v),Bakery,Graham Bread (v),Bakery,Roasted Garlic Bread (v),Bakery
Date and Cashew Bar (w/nuts) (vgn),Pumpkin & Walnut Muffin (w/nuts) (vgn),Bakery,Maple Pecan Scone (w/nuts) (v),Bakery,Blueberry Scone (vgn),Bakery,Dried Cranberry Coconut Scone (v),Bakery
Nut & Seed Bar (w/nuts) (vgn),Key Lime Pie (v),Bakery,Blueberry Coffee Cake (v),Bakery,Cookies 'n Cream Cake (v),Bakery,Zebra Bar (w/nuts) (v),Bakery
Confetti Cake (v),Blueberry Muffin (vgn),Bakery,Ginger with Cardamom Scone (v),Bakery,Banana Macadamia Nut Cake (w/nuts) (v),Bakery,Rice Krispie Treat,Bakery
Cashew Chicken (w/nuts),Lamb Greek Gyro,Mongolian Grill,Sauteed Kale (vgn),Mongolian Grill,Coriander Lime Aioli (v),Mongolian Grill,Beef Chow Mein,Mongolian Grill
Vegetable Fried Rice (v),Chinese Chicken with Summer Vegetables,Mongolian Grill,Pork Fried Rice,Mongolian Grill,Chicken Fried Rice,Mongolian Grill,Chinese Style Tofu & Vegetables (vgn),Mongolian Grill
Red Curry Coconut Cashew Soup(w/nut)(vgn,Hearty Vegetable Soup (vgn),Mongolian Grill,Potato Leek Soup (v),Mongolian Grill,Far East Vegetable Soup (vgn),Mongolian Grill,Minestrone Soup (vgn),Mongolian Grill
Arugula Salad with Goat Cheese (v),Spinach Pecan Bacon & Cran Salad (w/nut),Salads,Ensalada de Chivo (Salpicon Style Goat),Salads,Cucumber & Onion Salad (vgn),Salads,Gazpacho Salad (vgn),Salads
Turkey Pastitsio,Country Gravy,Euro,Turkey Breast,Euro,Beef Gravy,Euro,Pork Balchao,Euro
Sauteed Fresh Carrots (vgn),Fresh Broccoli Spears (vgn),Euro,Baby Carrots with Tarragon (vgn),Euro,Chili and Noodles (vgn),Euro,Japanese Chicken Curry,Euro
Steamed Zucchini (vgn),Chicken Tikka Masala,Euro,Sauteed Zucchini Sticks (vgn),Euro,Fresh Herb Polenta with Marinara (v),Euro,Mahi Mahi Veracruz,Euro
Oven Roasted Red Potatoes (vgn),Corn (vgn),Euro,Fresh Green Beans (vgn),Euro,Risotto with Fresh Vegetables (vgn),Euro,Fresh Vegetables Saute with Garlic (vgn),Euro
Whole Wheat Penne Pasta (vgn),Spaghetti Pasta (vgn),Pasta,Angel Hair Pasta (vgn),Pasta,Penne with Chicken and Mushrooms,Pasta,Rigatoni Pasta (vgn),Pasta
Marinara Sauce with Sausage,Meat Sauce,Pasta,Sun Dried Tomato Sauce (vgn),Pasta,Red Clam Sauce,Pasta,Fresh Basil Sauce (v),Pasta
Fresh Tomato Basil Garlic Pasta (vgn),Pasta Pronto (vgn),Pasta,Whole Wheat Pasta Rigate (vgn),Pasta,Wheat Penne Chard & Sun Dried Tomato(vgn,Pasta,Pasta Carbonara,Pasta
Pandesal (v),Macaroon (v),Bakery,Chocolate Macaroon (v),Bakery,Cranberry Almond Biscotti (w/nuts) (v),Bakery,Fresas con Crema (v),Bakery
Marble Cake with Chocolate Frosting (v),Chocolate Flourless Cake (v),Bakery,Brownie w/Chocolate Icing (v),Bakery,Chocolate Chip Cake Kahlua (v),Bakery,Whole Wheat Banana Muffin (vgn),Bakery
Chicken Congee,Calabacitas (vgn),Euro,Grilled Ono with Pesto Butter,Euro,Green Chili & Cheese Tamales (vgn),Euro,Sauteed Yellow Squash with Herbs (vgn),Euro
Spicy Meatball Sandwich,Cactus Taco (v),Euro,Chicken Enchilada,Euro,BBQ Chicken Sandwich,Euro,Philly Cheese Steak Sandwich,Euro
Fresh Mushroom Quiche (v),Steamed Fresh Carrots (vgn),Euro,Chicken Shoyu,Euro,Turkey Gravy,Euro,Roast Leg of Pork,Euro
Fresh Cauliflower (vgn),Pork Balchao,Euro,Peas (vgn),Euro,Chamorro BBQ Chicken,Euro,Beef Gravy,Euro
Sausage Patty,Steak Ranchero,Grill (Cafe),Chorizo and Eggs,Grill (Cafe),Mardi Gras Eggs with Ham,Grill (Cafe),Grilled Ham with Honey Glaze,Grill (Cafe)
Chilaquiles (No Egg) (v),Egyptian Fava Bean Falafel on Pita (v),Grill (Cafe),Steak Fries (vgn),Grill (Cafe),Grilled Cheddar on Wheat (v),Grill (Cafe),Krinkle Cut Fries (vgn),Grill (Cafe)
Lemon Scone (vgn),Coconut Poke Cake (v),Bakery,Bran Muffin (v),Bakery,Yellow Cake with Mocha Frosting (v),Bakery,Cinnamon Coffee Cake (v),Bakery
Banana Nut Bread (w/nuts) (v),Sour Cream & Chives Roll (v),Bakery,Olive Whole Wheat Bread (vgn),Bakery,Bread Olive (vgn),Bakery,Cheese Bread (v),Bakery
Beef Chow Mein,Miso Broth with Udon Noodles (v),Mongolian Grill,Pollo Asado,Mongolian Grill,Lamb Greek Gyro,Mongolian Grill,Cashew Chicken (w/nuts),Mongolian Grill
Vegetable Pad Thai (w/nuts) (vgn),Green Curry Beef on Rice Noodle,Mongolian Grill,Vegetable Chow Mein (vgn),Mongolian Grill,Vegetable Tagine (vgn),Mongolian Grill,Vegetable Teriyaki Rice Bowl (vgn),Mongolian Grill
Potato Leek Soup (v),Hearty Vegetable Soup (vgn),Mongolian Grill,Red Curry Coconut Cashew Soup(w/nut)(vgn,Mongolian Grill,Minestrone Soup (vgn),Mongolian Grill,Vegetable Soup (vgn),Mongolian Grill
Italian Bread Salad (v),Carrot & Raisin Salad (v),Salads,Waldorf Walnut Salad (w/nuts) (v),Salads,Caesar Salad,Salads,Chinese Broccoli Salad (vgn),Salads
Roast Pork Loin,Beef Meatloaf,Euro,Blackened Mahi Mahi,Euro,Spanakopita Triangles (V),Euro,Japanese Curry (v),Euro
Mushroom Gravy,Roast Beef,Euro,Steamed Carrots (vgn),Euro,Buttermilk Chicken Fried,Euro,Steamed Crookneck Squash (vgn),Euro
Green Beans (vgn),Potato Gorda with Corn (v),Euro,Spanish Corn (v),Euro,Polenta with Vegetables (vgn),Euro,Potato Vegetable Kugel (v),Euro
Mashed Potatoes (v),Ratatouille with White Beans (vgn),Euro,Rice Pilaf with Mushrooms (vgn),Euro,Sauteed Kale & Collard Greens (vgn),Euro,Basmati Rice (vgn),Euro
Italian Quinoa (v),Pickled Radish - Fukujin Zuke (vgn),Euro,Sauteed Zucchini (vgn),Euro,Baby Carrots with Tarragon (vgn),Euro,Sauteed Fresh Carrots (vgn),Euro
Fettuccine with Chicken Olives & Garlic,Fettucine Alfredo,Pasta,Baked Rigatoni (v),Pasta,Tomato and Leek Marinara (vgn),Pasta,Whole Wheat Spaghetti (vgn),Pasta
Spaghetti Pasta (vgn),Angel Hair Pasta (vgn),Pasta,Whole Wheat Penne Pasta (vgn),Pasta,Penne with Chicken and Mushrooms,Pasta,Rigatoni Pasta (vgn),Pasta
Garden Vegetable Marinara (vgn),White Navy Beans (vgn),Pasta,Fusilli with Roasted Vegetables (v),Pasta,Jasmine Rice (vgn),Pasta,Pinto Beans (vgn),Pasta
Thai Chicken Curry Pizza,Mushroom Pizza on Wheat (v),Pizza,Onion & Jalapeno Pizza (v),Pizza,Olive Mushroom Pizza on White (v),Pizza,Assorted Meat Pizza,Pizza
Mushroom Pizza on Wheat (v),Thai Chicken Curry Pizza,Pizza,Onion & Jalapeno Pizza (v),Pizza,Olive Mushroom Pizza on White (v),Pizza,Assorted Meat Pizza,Pizza
Pizza Bread (v),Oatmeal Bread (v),Bakery,Galaktoboureko (Greek Pudding) (v),Bakery,Chocolate Chip Cake Kahlua (v),Bakery,Butterscotch Pecan Bar (w/nuts) (v),Bakery
Chocolate Chip Cake Kahlua (v),Chocolate Chip Scone (vgn),Bakery,Black and White Brownie (v),Bakery,Butterscotch Pecan Bar (w/nuts) (v),Bakery,Killer Brownie (v),Bakery
Cabbage Soup (vgn),Matzo Gnocchi Soup,Euro,Yemenite Beef and Potato Stew,Euro,White Bean Basque Soup (vgn),Euro,North African Stew (vgn),Euro
Vegetable Tostada (v),Creole Beans and Rice (vgn),Euro,Rice Pilaf with Mushrooms (vgn),Euro,French Cut Green Beans (vgn),Euro,Mashed Potatoes (v),Euro
Mardi Gras Eggs with Ham,Cream of Wheat (vgn),Grill (Cafe),Steak Ranchero,Grill (Cafe),Cage Free Scrambled Eggs with Cheese (v),Grill (Cafe),Sausage Patty,Grill (Cafe)
Peach Chunk Pancake (v),Banana Pancake (v),Grill (Cafe),Buttermilk Pancake (v),Grill (Cafe),English Muffin Chicken Sausage Sandwich,Grill (Cafe),Egg Ham & Cheese English Muffin Sandwich,Grill (Cafe)
Double Chocolate Bread (v),Tsoureki (Greek Easter Bread) (v),Bakery,Hawaiian Sweet Bread (v),Bakery,Chocolate Chip Banana Bread (v),Bakery,Cinnamon Roll (v),Bakery
Maple Pecan Scone (w/nuts) (v),Date and Cashew Bar (w/nuts) (vgn),Bakery,Pumpkin & Walnut Muffin (w/nuts) (vgn),Bakery,Apple Crumb Pie (vgn),Bakery,Blueberry Scone (vgn),Bakery
Chicken Pad Thai with Peanut (w/nuts),Chicken Fajitas,Mongolian Grill,Pork Chow Mein,Mongolian Grill,Teriyaki Beef,Mongolian Grill,Orange Tofu (vgn),Mongolian Grill
Tofu Vegetable Stir Fry (vgn),Beef Broccoli & Mushroom Stir Fry,Mongolian Grill,Chicken Stir Fry with Green Beans,Mongolian Grill,Stir Fry Pork with Vegetables,Mongolian Grill,Chicken & Vegetable Stir Fry,Mongolian Grill
Spicy Stir Fry Sauce (vgn),Stir Fry Noodles with Vegetables (vgn),Mongolian Grill,Vegetable Stir Fry (vgn),Mongolian Grill,Chicken & Vegetable Stir Fry,Mongolian Grill,Chicken Stir Fry with Green Beans,Mongolian Grill
Spaghetti Soup (vgn),Ham & Navy Bean Soup,Mongolian Grill,Chicken Rice Soup,Mongolian Grill,Cream of Broccoli Soup (v),Mongolian Grill,Fasolada Soup (vgn),Mongolian Grill
Spicy Kale Caesar Salad (v),Kale & Arugula Salad w/Cranberries (vgn),Salads,Ambrosia Salad,Salads,Chicken Caesar Salad,Salads,Italian Tossed Greens (vgn),Salads
Turkey Meatloaf,Carrots with Lemon Butter (v),Euro,Pickled Scallions - Rakkyo Zuke (vgn),Euro,Chicken Piccata,Euro,Roasted Beets (vgn),Euro
Turkey Gravy,Roast Leg of Pork,Euro,Fresh Mushroom Quiche (v),Euro,Steamed Fresh Carrots (vgn),Euro,Green Bean Almondine (w/nuts) (vgn),Euro
Peas (vgn),Chamorro BBQ Chicken,Euro,Fresh Cauliflower (vgn),Euro,Beef and Bean Tostada,Euro,Arni Psito (Roasted Lamb),Euro
Stir Fry Vegetables (vgn),Penne Arrabiata with Chicken,Euro,Chicken Spinach & Mushroom Lasagna,Euro,Five Spice Vegetable Stir Fry (vgn),Mongolian Grill,Japanese Chicken Curry,Euro
Roasted Potato Wedges (vgn),Fresh Vegetable Medley (vgn),Euro,Refried Beans (vgn),Euro,Basmati Rice with Peas (vgn),Euro,Oven Browned Potatoes (vgn),Euro
Fettucine Alfredo,Fettuccine with Chicken Olives & Garlic,Pasta,Baked Rigatoni (v),Pasta,Tomato and Leek Marinara (vgn),Pasta,Whole Wheat Spaghetti (vgn),Pasta
Baked Rigatoni (v),Fettucine Alfredo,Pasta,Fettuccine with Chicken Olives & Garlic,Pasta,Tomato and Leek Marinara (vgn),Pasta,Whole Wheat Spaghetti (vgn),Pasta
Assorted Meat Pizza,Three Cheese Pizza on Wheat (v),Pizza,Vegetable & Jalapeno Pizza on Wheat (v),Pizza,Pepperoni Pizza,Pizza,Sausage Pizza,Pizza
Tomato Pesto Pizza on Wheat (v),Arugula & Artichoke Pizza on White (v),Pizza,Buffalo Chicken Pizza,Pizza,Ham & Cheese Pizza,Pizza,Quattro Formaggio Pizza on Wheat (v),Pizza
Sour Cream & Chives Roll (v),Olive Whole Wheat Bread (vgn),Bakery,Bread Olive (vgn),Bakery,Banana Nut Bread (w/nuts) (v),Bakery,Cheese Bread (v),Bakery
Cookies 'n Cream Cake (v),Zebra Bar (w/nuts) (v),Bakery,Cream Cheese Pie (v),Bakery,Cowboy Cookie Bar (v),Bakery,Chocolate Matzo Cake Passover Friendl(v),Bakery
Chicken Chile Verde and Corn Tortillas,Baked Sweet Potato (vgn),Grill (Cafe),Black Beans (vgn),Grill (Cafe),Potato Taquito (v),Grill (Cafe),Fried Potatoes with Onions (vgn),Grill (Cafe)
Diced Potatoes (vgn),Ginger Basmati Rice (vgn),Grill (Cafe),Long Grain Rice (vgn),Grill (Cafe),Mexican Rice (vgn),Grill (Cafe),Mexican Crispy Roasted Potatoes (v),Grill (Cafe)
Orange Scone (v),Chocolate Chip Scone (vgn),Bakery,Butterscotch Pecan Bar (w/nuts) (v),Bakery,Bibingka Filipino Coconut Cake (v),Bakery,Applesauce Coffee Cake (v),Bakery
Beef Chop Suey,Valenciana Paella,Mongolian Grill,Tofu Veggie Pad Thai w/Peanut(w/nuts)(v),Mongolian Grill,Chicken General Tso's,Mongolian Grill,Chicken Coconut & Peanut Curry (w/nuts),Mongolian Grill
Spicy Tofu w/Vegetables & Noodles (vgn),Tofu Vegetable Coconut Curry (vgn),Mongolian Grill,Rice with Cilantro & Onions (vgn),Mongolian Grill,Rice Noodles with Black Bean Sauce (vgn),Mongolian Grill,Vegetable Yakisoba (v),Mongolian Grill
Penne Arrabiata with Chicken,Chicken Spinach & Mushroom Lasagna,Euro,Stir Fry Vegetables (vgn),Euro,Teriyaki Chicken Stir Fry,Mongolian Grill,Crispy Salmon Roll,Euro
Festive Rice Fruit Salad (w/nuts) (vgn),Gazpacho Salad (vgn),Salads,Cucumber & Onion Salad (vgn),Salads,Arugula Salad with Goat Cheese (v),Salads,Ensalada de Chivo (Salpicon Style Goat),Salads
Italian Tossed Greens (vgn),Three Bean Salad (vgn),Salads,Chicken Caesar Salad,Salads,Asian Noodle Salad (vgn),Salads,Ambrosia Salad,Salads
Salami Pizza,Tomato Basil Pizza on White (v),Pizza,Tomato Basil Pizza on Wheat (v),Pizza,Pineapple & Jalapeno Pizza on White (v),Pizza,Black Olive Pizza on Wheat (v),Pizza
Onion & Jalapeno Pizza (v),Thai Chicken Curry Pizza,Pizza,Mushroom Pizza on Wheat (v),Pizza,Olive Mushroom Pizza on White (v),Pizza,Assorted Meat Pizza,Pizza
